datetime;id;devicetype;co2;temp;light;moist;movement;noise
2014-11-30T10:09:05;SH8/2I2kXiBIBd;device;712;23.97;1;30;0;60.11
2014-11-30T10:10:06;SH8/2I2kXiBIBd;device;712;23.96;1;30;0;60.02
2014-11-30T10:11:06;SH8/2I2kXiBIBd;device;714;23.96;1;30;0;60.02
2014-11-30T10:12:06;SH8/2I2kXiBIBd;device;714;23.96;1;30;0;60.07
2014-11-30T10:13:07;SH8/2I2kXiBIBd;device;715;23.96;1;30;0;60.02
2014-11-30T10:14:07;SH8/2I2kXiBIBd;device;714;23.97;1;30;0;60.11
2014-11-30T10:15:07;SH8/2I2kXiBIBd;device;714;23.96;1;30;0;60.08
2014-11-30T10:16:08;SH8/2I2kXiBIBd;device;713;23.96;1;30;0;60.04
2014-11-30T10:17:08;SH8/2I2kXiBIBd;device;713;23.96;1;30;0;60.02
2014-11-30T10:18:08;SH8/2I2kXiBIBd;device;713;23.96;1;30;0;60.04
2014-11-30T10:19:08;SH8/2I2kXiBIBd;device;712;23.94;1;30;0;60.02
2014-11-30T10:20:09;SH8/2I2kXiBIBd;device;711;23.96;1;30;0;60.08
2014-11-30T10:21:09;SH8/2I2kXiBIBd;device;711;23.96;1;30;0;60.02
2014-11-30T10:22:09;SH8/2I2kXiBIBd;device;710;23.94;1;30;0;60.02
2014-11-30T10:23:10;SH8/2I2kXiBIBd;device;710;23.94;1;30;0;60.02
2014-11-30T10:24:10;SH8/2I2kXiBIBd;device;710;23.94;1;30;0;60.29
2014-11-30T10:25:10;SH8/2I2kXiBIBd;device;712;23.96;1;30;0;60.11
2014-11-30T10:26:11;SH8/2I2kXiBIBd;device;711;23.94;1;30;0;60.05
2014-11-30T10:27:11;SH8/2I2kXiBIBd;device;712;23.96;1;30;0;60.04
2014-11-30T10:28:11;SH8/2I2kXiBIBd;device;711;23.96;1;30;0;60.02
2014-11-30T10:29:11;SH8/2I2kXiBIBd;device;710;23.96;1;30;0;60.26
2014-11-30T10:30:12;SH8/2I2kXiBIBd;device;708;23.94;1;30;0;60.13
2014-11-30T10:31:12;SH8/2I2kXiBIBd;device;708;23.96;1;30;0;60.19
2014-11-30T10:32:12;SH8/2I2kXiBIBd;device;708;23.96;1;30;0;60.02
2014-11-30T10:33:13;SH8/2I2kXiBIBd;device;707;23.96;1;30;0;60.07
2014-11-30T10:34:13;SH8/2I2kXiBIBd;device;705;23.96;1;30;0;60.02
2014-11-30T10:35:13;SH8/2I2kXiBIBd;device;704;23.94;1;30;0;60.16
2014-11-30T10:36:14;SH8/2I2kXiBIBd;device;704;23.96;1;30;0;60.02
2014-11-30T10:37:14;SH8/2I2kXiBIBd;device;704;23.97;1;30;0;60.02
2014-11-30T10:38:14;SH8/2I2kXiBIBd;device;704;23.96;1;30;0;60.07
2014-11-30T10:39:15;SH8/2I2kXiBIBd;device;704;23.97;1;30;0;60.02
2014-11-30T10:40:15;SH8/2I2kXiBIBd;device;703;23.94;1;30;0;60.07
2014-11-30T10:41:15;SH8/2I2kXiBIBd;device;703;23.96;1;30;0;60.02
2014-11-30T10:42:15;SH8/2I2kXiBIBd;device;704;23.97;1;30;0;60.04
2014-11-30T10:43:16;SH8/2I2kXiBIBd;device;704;23.96;1;30;0;60.11
2014-11-30T10:44:16;SH8/2I2kXiBIBd;device;704;23.94;1;30;0;60.1
2014-11-30T10:45:16;SH8/2I2kXiBIBd;device;703;23.96;1;30;0;60.07
2014-11-30T10:46:17;SH8/2I2kXiBIBd;device;703;23.96;1;30;0;60.07
2014-11-30T10:47:17;SH8/2I2kXiBIBd;device;702;23.96;1;30;0;60.04
2014-11-30T10:48:17;SH8/2I2kXiBIBd;device;702;23.96;1;30;0;60.26
2014-11-30T10:49:18;SH8/2I2kXiBIBd;device;702;23.96;1;30;0;60.02
2014-11-30T10:50:18;SH8/2I2kXiBIBd;device;703;23.96;1;30;0;60.02
2014-11-30T10:51:18;SH8/2I2kXiBIBd;device;703;23.96;1;30;0;60.05
2014-11-30T10:52:18;SH8/2I2kXiBIBd;device;702;23.96;1;30;0;60.04
2014-11-30T10:53:19;SH8/2I2kXiBIBd;device;702;23.96;1;30;0;60.02
2014-11-30T10:54:19;SH8/2I2kXiBIBd;device;700;23.94;1;30;0;60.02
2014-11-30T10:55:19;SH8/2I2kXiBIBd;device;700;23.96;1;30;0;60.02
2014-11-30T10:56:20;SH8/2I2kXiBIBd;device;700;23.94;1;30;0;60.02
2014-11-30T10:57:20;SH8/2I2kXiBIBd;device;700;23.96;1;30;0;60.08
2014-11-30T10:58:20;SH8/2I2kXiBIBd;device;700;23.96;1;30;0;60.02
2014-11-30T10:59:21;SH8/2I2kXiBIBd;device;701;23.96;1;30;0;60.02
2014-11-30T11:00:21;SH8/2I2kXiBIBd;device;699;23.96;1;30;0;60.14
2014-11-30T11:01:21;SH8/2I2kXiBIBd;device;698;23.97;1;30;0;60.02
2014-11-30T11:02:21;SH8/2I2kXiBIBd;device;698;23.96;1;30;0;60.13
2014-11-30T11:03:22;SH8/2I2kXiBIBd;device;699;23.96;1;30;0;60.04
2014-11-30T11:04:22;SH8/2I2kXiBIBd;device;699;23.96;1;30;0;60.07
2014-11-30T11:05:22;SH8/2I2kXiBIBd;device;699;23.94;1;30;0;60.13
2014-11-30T11:06:23;SH8/2I2kXiBIBd;device;699;23.94;1;30;0;60.04
2014-11-30T11:07:23;SH8/2I2kXiBIBd;device;699;23.94;1;30;0;60.05
2014-11-30T11:08:23;SH8/2I2kXiBIBd;device;699;23.94;1;30;0;60.04
2014-11-30T11:09:24;SH8/2I2kXiBIBd;device;699;23.96;1;30;0;60.02
2014-11-30T11:10:24;SH8/2I2kXiBIBd;device;698;23.96;1;30;0;60.1
2014-11-30T11:11:24;SH8/2I2kXiBIBd;device;698;23.94;1;30;0;60.02
2014-11-30T11:12:24;SH8/2I2kXiBIBd;device;698;23.94;1;30;0;60.39
2014-11-30T11:13:25;SH8/2I2kXiBIBd;device;698;23.96;1;30;0;60.05
2014-11-30T11:14:25;SH8/2I2kXiBIBd;device;697;23.94;1;30;0;60.1
2014-11-30T11:15:25;SH8/2I2kXiBIBd;device;697;23.94;1;30;0;60.02
2014-11-30T11:16:26;SH8/2I2kXiBIBd;device;697;23.94;1;30;0;60.13
2014-11-30T11:17:26;SH8/2I2kXiBIBd;device;696;23.94;1;30;0;60.04
2014-11-30T11:18:26;SH8/2I2kXiBIBd;device;696;23.94;1;30;0;60.45
2014-11-30T11:19:27;SH8/2I2kXiBIBd;device;696;23.94;1;30;0;60.02
2014-11-30T11:20:27;SH8/2I2kXiBIBd;device;695;23.94;1;30;0;60.08
2014-11-30T11:21:27;SH8/2I2kXiBIBd;device;694;23.94;1;30;0;60.02
2014-11-30T11:22:27;SH8/2I2kXiBIBd;device;694;23.94;1;30;0;60.23
2014-11-30T11:23:28;SH8/2I2kXiBIBd;device;694;23.94;1;30;0;60.08
2014-11-30T11:24:28;SH8/2I2kXiBIBd;device;694;23.94;1;30;0;60.02
2014-11-30T11:25:28;SH8/2I2kXiBIBd;device;694;23.94;1;30;0;60.41
2014-11-30T11:26:29;SH8/2I2kXiBIBd;device;693;23.94;1;30;0;60.02
2014-11-30T11:27:29;SH8/2I2kXiBIBd;device;693;23.94;1;30;0;60.02
2014-11-30T11:28:29;SH8/2I2kXiBIBd;device;0;23.94;1;30;0;60.02
2014-11-30T11:29:30;SH8/2I2kXiBIBd;device;694;23.94;1;30;0;60.04
2014-11-30T11:30:30;SH8/2I2kXiBIBd;device;694;23.94;1;30;0;60.07
2014-11-30T11:31:30;SH8/2I2kXiBIBd;device;694;23.94;1;30;0;60.29
2014-11-30T11:32:31;SH8/2I2kXiBIBd;device;694;23.94;1;30;0;60.11
2014-11-30T11:33:31;SH8/2I2kXiBIBd;device;693;23.94;1;30;0;60.04
2014-11-30T11:34:31;SH8/2I2kXiBIBd;device;693;23.96;1;30;0;60.43
2014-11-30T11:35:31;SH8/2I2kXiBIBd;device;693;23.96;1;30;0;60.02
2014-11-30T11:36:32;SH8/2I2kXiBIBd;device;693;23.94;1;30;0;60.02
2014-11-30T11:37:32;SH8/2I2kXiBIBd;device;692;23.96;1;30;0;60.27
2014-11-30T11:38:32;SH8/2I2kXiBIBd;device;691;23.96;1;30;0;60.05
2014-11-30T11:39:33;SH8/2I2kXiBIBd;device;691;23.97;1;30;0;60.16
2014-11-30T11:40:33;SH8/2I2kXiBIBd;device;691;23.96;1;30;0;60.04
2014-11-30T11:41:33;SH8/2I2kXiBIBd;device;690;23.96;1;30;0;60.02
2014-11-30T11:42:34;SH8/2I2kXiBIBd;device;690;23.96;1;30;0;60.2
2014-11-30T11:43:34;SH8/2I2kXiBIBd;device;689;23.96;1;30;0;60.13
2014-11-30T11:44:34;SH8/2I2kXiBIBd;device;689;23.96;1;30;0;61.3
2014-11-30T11:45:34;SH8/2I2kXiBIBd;device;689;23.96;1;30;0;60.24
2014-11-30T11:46:35;SH8/2I2kXiBIBd;device;689;23.96;1;30;0;60.02
2014-11-30T11:47:35;SH8/2I2kXiBIBd;device;688;23.94;1;30;0;60.04
2014-11-30T11:48:35;SH8/2I2kXiBIBd;device;688;23.96;1;30;0;60.04
2014-11-30T11:49:36;SH8/2I2kXiBIBd;device;685;23.96;1;30;0;60.16
2014-11-30T11:50:36;SH8/2I2kXiBIBd;device;684;23.96;1;30;0;60.02
2014-11-30T11:51:36;SH8/2I2kXiBIBd;device;683;23.94;1;30;0;60.83
